post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"5824d7d911334","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911394","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9113f3","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d91142b","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d91148a","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9114eb","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d91154c","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9115ac","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d91160d","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9116a4","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911813","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911877","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911929","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d91198c","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911a25","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911ab6","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911b1a","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911b7c","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911bdd","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911c43","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911ca6","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911d07","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911d68","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911dca","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911e2b","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911e8d","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911eee","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911f65","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d911fcf","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d912038","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d91209c","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9120fe","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d912161","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9121ea","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d912258","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9122bd","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d912321","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d912385","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9123cb","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d912430","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d912495","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
"5824d7d9124f9","","publish","","","","Cart % Discount","15","no","","","100","no","no","","","","","","","","","","","","","","no","no","no"
